source,target,sentence,document,relationship_type
Divisional,Euro,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,contextual
Euro,PEAP,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,contextual
KTA Procure,Specialist,"The note dated 8 October 2002 from the PEAP Off icial, indicates that the persons 
who had attended a meeting were the Company 1 Repre sentative, an engineer 
from the contractor “escavator” and the KTA Procure ment Specialist. 
 
11.",49.pdf,contextual
Divisional,UNMIK,"The Divisional Manager then reported the incide nt to his/her then chain of 
command, and the matter was passed to the UNMIK pol ice. 
 
",49.pdf,contextual
ITF,Divisional,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf,contextual
Divisional,ed,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf,contextual
ed,UNMIK,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf,contextual
raq,ITF,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf,contextual
ITF,Kosovo,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf,contextual
ITF,UNMIK Police,"On 27 September 2004, the ITF sent a letter to UNMIK Police Officer 2, in an 
effort to determine what investigations had been un dertaken into the matter, the 
result of those investigations and the whereabouts of the money. 
 
",49.pdf,contextual
UNMIK Police,un,"On 27 September 2004, the ITF sent a letter to UNMIK Police Officer 2, in an 
effort to determine what investigations had been un dertaken into the matter, the 
result of those investigations and the whereabouts of the money. 
 
",49.pdf,contextual
ITF,the Regional Crime Squad,"The ITF then contacted the Regional Crime Squad  and meetings were held with 
two officials. 
 
24.",49.pdf,contextual
ITF,PEAP,"Evidence adduced by the ITF gives rise to the possibility that an attempt was 
made to make a corrupt payment to the PEAP Official  in October 2002. 
",49.pdf,contextual
The Investigations Division of the Office of Int ernal Oversight Services,the United Nations Mission,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,contextual
the United Nations Mission,Liberia,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,contextual
Liberia,dealin gs,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,contextual
dealin gs,Liberia,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,contextual
Liberia,UNMIL,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,contextual
US,Top Secret US National Security Agency,"NSA Global SIGINT Highlights
US Intercepts of France Complaining About US 
Intercepts of France
WikiLeaks release: June 23, 2015
Top Secret US National Security Agency report on highlights from signals intelligence intercepts of high-
level French government communications.",89.pdf,contextual
Pierre Vimont,Nicolas Sarkozy,"Pierre Vimont, and French 
President Nicolas Sarkozy's diplomatic advisor Jean-David Levitte.",89.pdf,contextual
Nicolas Sarkozy,Jean-David Levitte,"Pierre Vimont, and French 
President Nicolas Sarkozy's diplomatic advisor Jean-David Levitte.",89.pdf,contextual
Sarkozy,US,"The report reveals various potential 
topics Sarkozy intended to raise with US President Barack Obama during an upcoming meeting in 
Washington.",89.pdf,contextual
US,Barack Obama,"The report reveals various potential 
topics Sarkozy intended to raise with US President Barack Obama during an upcoming meeting in 
Washington.",89.pdf,contextual
Barack Obama,Washington,"The report reveals various potential 
topics Sarkozy intended to raise with US President Barack Obama during an upcoming meeting in 
Washington.",89.pdf,contextual
Sarkozy,US,"Topping Sarkozy's agenda is his frustration that the US has backed away from a bilaterial 
intelligence cooperation agreement which might restrict the US ability to continue spying on France.  
",89.pdf,contextual
US,US,"Topping Sarkozy's agenda is his frustration that the US has backed away from a bilaterial 
intelligence cooperation agreement which might restrict the US ability to continue spying on France.  
",89.pdf,contextual
US,France,"Topping Sarkozy's agenda is his frustration that the US has backed away from a bilaterial 
intelligence cooperation agreement which might restrict the US ability to continue spying on France.  
",89.pdf,contextual
Afghanistan,European Aeronautic Defence,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf,contextual
European Aeronautic Defence,EADS,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf,contextual
EADS,US,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf,contextual
US,Pernod Ricard,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf,contextual
National Security Agency,NSA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
NSA,Top Secret,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Top Secret,ORCON,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
ORCON,NOFORN,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
NOFORN,SIGINT,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
SIGINT,United States,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
United States,USA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
USA,France,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
France,Afghanistan,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Afghanistan,Nicolas Sarkozy,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Nicolas Sarkozy,Barack Obama,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Barack Obama,"Pernod
Ricard","Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
"Pernod
Ricard",European Aeronautic Defence,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
European Aeronautic Defence,EADS,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
EADS,Iran,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Iran,Pakistan,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Pakistan,Yemen,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Yemen,Somalia,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Somalia,Sahel,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Sahel,Russia,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Russia,China,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
China,Turkey,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Turkey,U.S.,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
U.S.,Washington,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Washington,Organization:National Security Agency,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
Organization:National Security Agency,NSA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,contextual
U.S.,Washington,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,contextual
Washington,Sarkozy,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,contextual
Sarkozy,U.S.,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-france/
Pages:1
Sensitive Issues on the Agenda When French, U.S. Presidents Meet Next  
Week in Washington (TS//SI//NF)
(TS//SI//NF) French President Sarkozy intends to raise a number of 
sensitive topics with the U.S. President when the two leaders meet in  
Washington on 31 March, according to an exchange last week between 
the French ambassador in Washington Pierre Vimont, and Sarkozy's 
diplomatic advisor, Jean­David Levitte. ",89.pdf,contextual
