type,entity,source
ORG,"Investigation Task Force 
 
 
Irregularities",9.pdf
ORG,the Rescue Fire Fighting Service,5.pdf
ORG,instru,51.pdf
ORG,Managing Partner,82.pdf
ORG,UNMIK Pil lar IV,49.pdf
ORG,PPFD,26.pdf
ORG,BACKGROUND INFORMATION    ,24.pdf
ORG,CITS,82.pdf
ORG,UNMIK Pil,13.pdf
ORG,ATCS bank,2.pdf
ORG,the Kosovo Trust Agency,9.pdf
ORG,United Nations,21.pdf
ORG,Tender Documents,43.pdf
ORG,the Procurement Regulation,1.pdf
ORG,Abuse of Office,51.pdf
ORG,ITF,14.pdf
ORG,doc,43.pdf
ORG,VALA,2.pdf
ORG,the Civil Administration,8.pdf
ORG,UN System,24.pdf
ORG,Vendor,38.pdf
ORG,the Air Traffic Control Services,39.pdf
ORG,United Nations,31.pdf
ORG,"PROCUREMENT TASK FORCE  
REPORT",82.pdf
ORG,EADS,89.pdf
ORG,UNMIK,39.pdf
ORG,DPA,73.pdf
ORG,ECA,24.pdf
ORG,the Project Engineer,10.pdf
ORG,Personnel Status File,24.pdf
ORG,US Government,24.pdf
ORG,Internal Audit Unit,14.pdf
ORG,the Bid Opening Committee,14.pdf
ORG,the UNMIK Kosovo Interim Administration’s,39.pdf
ORG,Kosovo Force,31.pdf
ORG,United Nations Sec,31.pdf
ORG,"United 
Nations",82.pdf
ORG,the U.S. Congress,91.pdf
ORG,Barclay  Bank,26.pdf
ORG,the ACGD Office,26.pdf
ORG,"Tenders” 
 
Allegation 4 :",14.pdf
ORG,Consulta,21.pdf
ORG,UNMIK Finance Regulation,10.pdf
ORG,KTA Internal Audit,14.pdf
ORG,UNEPIPCAU Consultant,27.pdf
ORG,UNMIK Regulation No 1/,8.pdf
ORG,Central Procurement Entity,16.pdf
ORG,Dickson Mzumara,24.pdf
ORG,UNITED NATIONS,51.pdf
ORG,Department 1,2.pdf
ORG,Capital Expenditure Approval,45.pdf
ORG,the Provisional Institutions,2.pdf
ORG,The Directorate of Rural Affairs,16.pdf
ORG,the United Nations,63.pdf
ORG,UN,43.pdf
ORG,UNMIK,4.pdf
ORG,CONCLUSIONS,26.pdf
ORG,FVEY,112.pdf
ORG,the Department of Transport,39.pdf
ORG,"Intérimaire des Nations 
Unies",15.pdf
ORG,the Task Force’s,82.pdf
ORG,United Nations,63.pdf
ORG,Finance,14.pdf
ORG,IV04/262/03,47.pdf
ORG,YCAA,35.pdf
ORG,UN,69.pdf
ORG,Economy Trade and Industry,105.pdf
ORG,Insurance Company 2,36.pdf
ORG,"Intérimaire des Nations    
       Unies",13.pdf
ORG,Airlines,31.pdf
ORG,The Ta sk Force,82.pdf
ORG,"UNMIK’s Finance 
Administrative",16.pdf
ORG,Divisional Ma,5.pdf
ORG,Contract,9.pdf
ORG,Interna l Audit Unit,14.pdf
ORG,Direct Single Source Procurement,5.pdf
ORG,UNITED NATIONS,11.pdf
ORG,the Passenger Terminal Building,44.pdf
ORG,IEA,106.pdf
ORG,Barclays,26.pdf
ORG,United Nations,8.pdf
ORG,KCB,16.pdf
ORG,"BACKGROUND INFORMATION 
 
4",43.pdf
ORG,the Finance Office,14.pdf
ORG,the Finance Department,38.pdf
ORG,Consolidated Budget Funds,5.pdf
ORG,UNITED NATIONS,38.pdf
ORG,UNON,21.pdf
ORG,VIII,24.pdf
ORG,• Airline,31.pdf
ORG,Dell,82.pdf
ORG,IOV,21.pdf
ORG,"the Transport 
Sector of the UNMIK Directorate of Infrastructure A",10.pdf
ORG,SIU,63.pdf
ORG,Kosovo Force,8.pdf
ORG,the Bid Evaluation Committee,38.pdf
ORG,United Nations Sec,8.pdf
ORG,"the Bid Evaluation 
Committee",14.pdf
ORG,"UNMIK 
 
Investigation Task Force 
 
 
 
Date",36.pdf
ORG,UNEP Staff,27.pdf
ORG,Office of Legal Affairs,24.pdf
ORG,Intérimaire des Nations,52.pdf
ORG,the ATCS Finance,2.pdf
ORG,LOI,82.pdf
ORG,DPKO,63.pdf
ORG,United States,24.pdf
ORG,the Border Police Investigations Unit,49.pdf
ORG,Air Traffic Control Services,43.pdf
ORG,UNMIK Regulation No 1/,9.pdf
ORG,UNEP,21.pdf
ORG,ID Investigato,26.pdf
ORG,The Investigation Task Force,2.pdf
ORG,Sec,63.pdf
ORG,the Air Traffic Control Services,11.pdf
ORG,the United Nations Environmental Programme,27.pdf
ORG,IBM,82.pdf
ORG,the Prishtina Airpor,2.pdf
ORG,"the 
Public Enterprise Airport Pristina",8.pdf
ORG,the Evaluat ion Company,10.pdf
ORG,UNMIK,11.pdf
ORG,the Evaluation Company,43.pdf
ORG,"APPLICABLE LEGAL NORMS 
 
Staff Regulation",63.pdf
ORG,Air,13.pdf
ORG,Divisional,31.pdf
ORG,Council,5.pdf
ORG,UNMIK,38.pdf
ORG,"White 
House",24.pdf
ORG,the Integrated Management Informat ion System,26.pdf
ORG,Bid Eva luation Committee,38.pdf
ORG,LaCresta,82.pdf
ORG,BACKGROUND,21.pdf
ORG,the Kosovo Organised Crime Bureau,1.pdf
ORG,United Nations Security Co,2.pdf
ORG,"I. INTRODUCTION 
 
",10.pdf
ORG,the Investigation Task Force,5.pdf
ORG,"Investigation Task Force 
 
Alleged Irregularities",52.pdf
ORG,Kosovo Force,10.pdf
ORG,the Rescue Fire Fighting Ser,5.pdf
ORG,American Government,24.pdf
ORG,BACKGROUND,31.pdf
ORG,The Investigations Division of the Office of Int ernal Oversight Services,16.pdf
ORG,Co-Perpetration,51.pdf
ORG,Reducing Carbon Emissions,105.pdf
ORG,The Finance Department,21.pdf
ORG,"the United 
Nations Development Programme",21.pdf
ORG,Manchester Technologies,82.pdf
ORG,"INVESTIGATION TASK FORCE 
 
Allegation",51.pdf
ORG,the Department of Transport,11.pdf
ORG,Kosovo Force,9.pdf
ORG,Kosovar,47.pdf
ORG,United Nations Sec,9.pdf
ORG,BACKGROUND INFORMATION,52.pdf
ORG,UNITED NATIONS,2.pdf
ORG,"the 
Insurance Company 2",36.pdf
ORG,"I.  INTRODUCTION 
 
",21.pdf
ORG,the Cargo Handling Office,51.pdf
ORG,Ancillary Physical Services,5.pdf
ORG,Council,39.pdf
ORG,"UNMIK 
 
Subject",36.pdf
ORG,UNITED NATIONS,69.pdf
ORG,Consulting Company,43.pdf
ORG,the X-Ray Contract,45.pdf
ORG,the Procure ment Regulation,44.pdf
ORG,Favou,38.pdf
ORG,ST/SGB/2003/7,26.pdf
ORG,"Investigation Task Force 
 
 
Allegations",11.pdf
ORG,EU,108.pdf
ORG,"the 
Office of the Legal Adviser",10.pdf
ORG,the Post-Conflict Assessment Unit,27.pdf
ORG,Custo ms Duties,51.pdf
ORG,Kosovo Trust Age,45.pdf
ORG,the J AB,24.pdf
ORG,Schedule VI,35.pdf
ORG,UNITED NATIONS,73.pdf
ORG,OLA,24.pdf
ORG,Divisional,8.pdf
ORG,ITF,45.pdf
ORG,Secretariat,24.pdf
ORG,ITF,39.pdf
ORG,• Employees,11.pdf
ORG,UNICEF/Soma,69.pdf
ORG,UNITED NATIONS,49.pdf
ORG,UNMIK,43.pdf
ORG,the Bid Opening Committee (Procureme nt Officer 1 and,14.pdf
ORG,Council,4.pdf
ORG,the African Cen,26.pdf
ORG,IAU,14.pdf
ORG,the UNMIK Kosovo Interim Administration’s,43.pdf
ORG,the Capita l Expenditure,45.pdf
ORG,the “Gotive H41,16.pdf
ORG,Organization,82.pdf
ORG,SIGINT,89.pdf
ORG,"Investigation Task Force 
 
 
 
Investigation",39.pdf
ORG,"the Chartered 
Accountants",8.pdf
ORG,EU,106.pdf
ORG,Division,2.pdf
ORG,European Aeronautic Defence,89.pdf
ORG,al l,2.pdf
ORG,"the Evaluation 
Committee",39.pdf
ORG,Judicial Authorities,51.pdf
ORG,Pristina Air,39.pdf
ORG,Head of Department,2.pdf
ORG,Investigation Task Force,36.pdf
ORG,Annex,5.pdf
ORG,VI,5.pdf
ORG,Euro,49.pdf
ORG,"the Bid 
Evaluation Committee",14.pdf
ORG,the United Nations ST/SGB/2003/7,73.pdf
ORG,Credit Society Lim,69.pdf
ORG,"United Nations Interim 
Administration Mission",51.pdf
ORG,H CC minutes,82.pdf
ORG,UNEP Narobi,21.pdf
ORG,paragrap h 15.a,26.pdf
ORG,Handling Services Department,47.pdf
ORG,Procurement Offi,38.pdf
ORG,Organization,24.pdf
ORG,UNMIK,49.pdf
ORG,Company,51.pdf
ORG,UN,5.pdf
ORG,Assembly of Kosovo,45.pdf
ORG,"BACKGROUND INFORMATION 
 
3",63.pdf
ORG,Restaurant 2,13.pdf
ORG,Ministry of Economy Trade and Industry,107.pdf
ORG,3the procurement department,82.pdf
ORG,Airport Pristina Management Group,47.pdf
ORG,the ATCS Finance Office,2.pdf
ORG,UNDP,73.pdf
ORG,Participant 2,26.pdf
ORG,UNON Management,69.pdf
ORG,Ministry of Agriculture Forestry and Fisheries,108.pdf
ORG,UN Missions,82.pdf
ORG,Pillar,45.pdf
ORG,Pillar,39.pdf
ORG,Company/Insuranc e Company 1,36.pdf
ORG,"the 
Public Enterprise Airport Pristina",43.pdf
ORG,Council,11.pdf
ORG,Tender Documents,4.pdf
ORG,06/2002,2.pdf
ORG,the Bid Opening Co,14.pdf
ORG,"BACKGROUND INFORMATION 
 
4",5.pdf
ORG,Transport and Infrastructure,10.pdf
ORG,IAD-1/OIOS,63.pdf
ORG,Veterinary Services &,16.pdf
ORG,The Investigations Division of the Office of Internal Oversight Services,27.pdf
ORG,Kosovo Consolidated Budget Funds,39.pdf
ORG,the Investigation Task Force,11.pdf
ORG,UNMIK Pillar IV,52.pdf
ORG,KFOR,8.pdf
ORG,"the 
Organization",63.pdf
ORG,ITF,52.pdf
ORG,UNMIK,35.pdf
ORG,ITF,36.pdf
ORG,NEC,82.pdf
ORG,The Capital Expenditure Approval,45.pdf
ORG,National Security Agency,91.pdf
ORG,Partici,26.pdf
ORG,STRICTLY,69.pdf
ORG,el ectronic,82.pdf
ORG,TF,2.pdf
ORG,PEA,49.pdf
ORG,Inter Office Vouchers,21.pdf
ORG,National Security Agency,105.pdf
ORG,the ATCS Procurem,5.pdf
ORG,the Eval uation Committee,8.pdf
ORG,the Department of Justice,36.pdf
ORG,UNDP Brati,21.pdf
ORG,the Airport General Services,47.pdf
ORG,NZL,107.pdf
ORG,KITFK,15.pdf
ORG,Air Traffic Control Services,5.pdf
ORG,Pillar,4.pdf
ORG,Kosovo Trust Agency,2.pdf
ORG,UN,82.pdf
ORG,UN,21.pdf
ORG,STRICTLY,73.pdf
ORG,the ministry's,108.pdf
ORG,ATC S,2.pdf
ORG,Bid Opening Committee,38.pdf
ORG,the Kosovo Trust Agency,39.pdf
ORG,Provisional Self-Government,52.pdf
ORG,DOTI,31.pdf
ORG,Section VI,16.pdf
ORG,Chartered Account,11.pdf
ORG,METHODOLOGY,26.pdf
ORG,Kosovo Consolidated Budget Funds,4.pdf
ORG,"OFF
Date:2004
Organization:National Security Agency",91.pdf
ORG,"Kosovo  
 
 Investigation Task Force",2.pdf
ORG,p,47.pdf
ORG,"KOPOEK
K",15.pdf
ORG,Congress,91.pdf
ORG,Finance Offi,2.pdf
ORG,"the 
African Centre for Women",26.pdf
ORG,Invest,2.pdf
ORG,"DM 50,000",4.pdf
ORG,the Investigation Task Force,10.pdf
ORG,bee n,2.pdf
ORG,Pub lic Procurement,5.pdf
ORG,"Investigation Task Force 
 
 
Irregularities",4.pdf
ORG,the Insurance Company 1 Contract Policy,36.pdf
ORG,a Bid Evaluation Committee,14.pdf
ORG,UN,24.pdf
ORG,• UNEP Narobi,21.pdf
ORG,Pillar,51.pdf
ORG,I. METHODOLOGY,8.pdf
ORG,the B id Evaluation Committee,38.pdf
ORG,"DM 14,357,949",31.pdf
ORG,the UNMIK Directorate of In frastructure Affairs,4.pdf
ORG,KFOR,9.pdf
ORG,Airport Engineer 1,10.pdf
ORG,the Information Technology Services Division,82.pdf
ORG,the Airpor t Handling Services Department,47.pdf
ORG,PISG,52.pdf
ORG,Airport,8.pdf
ORG,1 Report of Investigation,69.pdf
ORG,ID/OIOS,69.pdf
ORG,Section VI “Technical Spec,16.pdf
ORG,the Investigations Division of Office of Internal Oversight Services,73.pdf
ORG,The Civil Engineer,14.pdf
ORG,Committee,82.pdf
ORG,Kosovar,13.pdf
ORG,the Slovakian Police,21.pdf
ORG,The Task Force,82.pdf
ORG,"the Chartered 
Accountants",43.pdf
ORG,the Office of the Legal Adviser,10.pdf
ORG,the Cargo Apron,10.pdf
ORG,"the European 
Union",2.pdf
ORG,Pillar,11.pdf
ORG,"Credit 
Committee",69.pdf
ORG,"DPKO 
Ipav",35.pdf
ORG,"INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery",38.pdf
ORG,ITF,43.pdf
ORG,UNMIK Kosovo Interim Administration’s,4.pdf
ORG,Mounting of Sonic System,1.pdf
ORG,Customs Duties,51.pdf
ORG,the European Union,106.pdf
ORG,DOTI,8.pdf
ORG,Management Committee,69.pdf
ORG,the ATCS Financ e Office,2.pdf
ORG,OIOS,63.pdf
ORG,the Air Traffic Control Services,5.pdf
ORG,the UN Rules and Regulations,16.pdf
ORG,Fischer-Boelindicated,110.pdf
ORG,"the Transport 
Sector of the UNMIK Directorate of Infrastructure A",31.pdf
ORG,UNMIK,5.pdf
ORG,Misappropriation in Office,51.pdf
ORG,the Civil Administration,39.pdf
ORG,favou,38.pdf
ORG,"the ATCS 
Finance Office",2.pdf
ORG,Specialist,49.pdf
ORG,un,5.pdf
ORG,Air BP,52.pdf
ORG,the United Nations Politic al Office,73.pdf
ORG,EU Council,111.pdf
ORG,"the Evaluation 
Company",10.pdf
ORG,BTF,27.pdf
ORG,KTA,14.pdf
ORG,UNON Managers,69.pdf
ORG,the Investigation Task Force,49.pdf
ORG,ACGD,26.pdf
ORG,"the 
  UNON/ITS Staff",73.pdf
ORG,IECS,82.pdf
ORG,ATCS,5.pdf
ORG,"Intérimaire des Nations 
Unies",2.pdf
ORG,Kosovo Trust Agency,14.pdf
ORG,UNITED NATIONS,21.pdf
ORG,"the 
Procurement Department",82.pdf
ORG,US National Security Agency,106.pdf
ORG,ID/OIOS Case 0430/04,63.pdf
ORG,Kosovo Police Service,13.pdf
ORG,Insured,36.pdf
ORG,NOFORN,108.pdf
ORG,"Consolidated Budget 
Funds",5.pdf
ORG,UNMIK Pillar IV,14.pdf
ORG,the Bid Evaluat ion Committee,38.pdf
ORG,Finance,26.pdf
ORG,UNICEF,69.pdf
ORG,the Divisional Mana,4.pdf
ORG,the ATCS Management,2.pdf
ORG,Kand,15.pdf
ORG,the Immigration Department,47.pdf
ORG,"the 
Department of Justice",13.pdf
ORG,UNITED NATIONS,31.pdf
ORG,the Civil Administration,4.pdf
ORG,Danoffice,82.pdf
ORG,the Department of Transport,5.pdf
ORG,UNMIK Regulation No 1/,39.pdf
ORG,UNMIK Pillar,52.pdf
ORG,evaluati on committee,8.pdf
ORG,DOTI,10.pdf
ORG,"I. INTRODUCTION 
 
",31.pdf
ORG,UNMIK’s Directorate of Rural Affairs,16.pdf
ORG,Security Off,4.pdf
ORG,the Regional Crime Squad,49.pdf
ORG,UNICEF Somalia,69.pdf
ORG,UNMIK Bank  Account,52.pdf
ORG,Consulting Firm,8.pdf
ORG,UN,10.pdf
ORG,Consulting Company,4.pdf
ORG,UNMIK,44.pdf
ORG,Hebelievesthatthemid-DecemberEUSummitinBrusselswillimpactontheUNConference,114.pdf
ORG,the Ministry of Foreign Affairs,105.pdf
ORG,Organisation:National Security Agency,105.pdf
ORG,Handling Fees,11.pdf
ORG,NOFORN,106.pdf
ORG,the Investigation Task Force,35.pdf
ORG,"Unconventional 
 
International",107.pdf
ORG,"the Office of Internal 
Oversight Services",69.pdf
ORG,Committee,38.pdf
ORG,I - Allegations,13.pdf
ORG,Pillar,43.pdf
ORG,UNMIK Aviation Transport,2.pdf
ORG,Participant 3,26.pdf
ORG,Z­3/OO/4448­08,106.pdf
ORG,"the Transport 
Sector of the UNMIK Directorate of Infrastructure A",8.pdf
ORG,"Klaus-Dieter
Borchardt",110.pdf
ORG,UNMIK Civil Administration,16.pdf
ORG,Kosovo Consolidated Budget Funds,43.pdf
ORG,the Information Technology Service,73.pdf
ORG,AUS,107.pdf
ORG,UNMIK Regulation No 1/,4.pdf
ORG,Executive,24.pdf
ORG,United Nations,39.pdf
ORG,Vendor,10.pdf
ORG,UNMIK,31.pdf
ORG,the Passeng er Handling Services,47.pdf
ORG,European Union,106.pdf
ORG,UNMI K Pillar II,36.pdf
ORG,Z-3/OO/550156-11,111.pdf
ORG,UNDP,21.pdf
ORG,Kosovo Force,39.pdf
ORG,Financial Rule 104.10,26.pdf
ORG,United Nations Sec,39.pdf
ORG,Facilities Management Section,24.pdf
ORG,Airline Off,47.pdf
ORG,"I. INTRODUCTION 
 
",63.pdf
ORG,the Financial Investigati on Unit,14.pdf
ORG,the Evaluation Committee,8.pdf
ORG,"Investigation Task Force 
 
 
Irregularities",43.pdf
ORG,ITF,1.pdf
ORG,Unde,82.pdf
ORG,UNITED NATIONS,8.pdf
ORG,the Kosovo Trust Agency,43.pdf
ORG,UNMIK Bank Acc,52.pdf
ORG,Intérimaire des Nations,51.pdf
ORG,"United Nations Child ren’s Fund/Somalia Support 
Centre",69.pdf
ORG,Air Traffic Control Services,10.pdf
ORG,the Civil Administration,11.pdf
ORG,"Insurance 
Company 1",36.pdf
ORG,United Nations,16.pdf
ORG,Septe,43.pdf
ORG,The Investigation Task Force,52.pdf
ORG,"KInvestigation Task Force 
 2",15.pdf
ORG,"I. INTRODUCTION 
 
",8.pdf
ORG,KTA Procure,49.pdf
ORG,"the 
Public Enterprise Airport Pristina",39.pdf
ORG,the Department of Transport,31.pdf
ORG,a Bid Opening Commit,38.pdf
ORG,Investigation Task Force,5.pdf
ORG,UNEP/PCAU Consultant,27.pdf
ORG,ID/OIOS Investigators,26.pdf
ORG,Public Procurement,5.pdf
ORG,Toshiba,82.pdf
ORG,the Board of Airport Pristina,51.pdf
ORG,Kosovo Force,4.pdf
ORG,United Nations Sec,4.pdf
ORG,Intérimaire des Nations,36.pdf
ORG,the Finance Division,26.pdf
ORG,United Nations Security Co,52.pdf
ORG,CPE,43.pdf
ORG,"Allegation 4 
 
(Specifically",43.pdf
ORG,"Carbon Emissions
WikiLeaks",105.pdf
ORG,TCS,2.pdf
ORG,UNDP HQ New York,21.pdf
