source,target,sentence,sentiment,source_file
UNON,the Department of Political Affairs,"**Background Context**: The investigation involved UNPOS, a mission under the Department of Political Affairs (DPA) based in Nairobi, which receives support from UNON.

### Relationships Involving Entities of Type Organization

- **UNON and UNPOS**: UNPOS is a mission that operates under the Department of Political Affairs and receives common services from UNON, indicating a service-provider relationship where UNON supports the operational needs of UNPOS.

- **UNON/ITS and UNPOS**: The UNON/ITS staff member was involved in a transactional relationship with UNPOS, where UNPOS trusted the staff member to provide a service (installation of a communication line) in exchange for payment.

",NEGATIVE,73.pdf
the Department of Political Affairs,UNON,"**Background Context**: The investigation involved UNPOS, a mission under the Department of Political Affairs (DPA) based in Nairobi, which receives support from UNON.

### Relationships Involving Entities of Type Organization

- **UNON and UNPOS**: UNPOS is a mission that operates under the Department of Political Affairs and receives common services from UNON, indicating a service-provider relationship where UNON supports the operational needs of UNPOS.

- **UNON/ITS and UNPOS**: The UNON/ITS staff member was involved in a transactional relationship with UNPOS, where UNPOS trusted the staff member to provide a service (installation of a communication line) in exchange for payment.

",NEGATIVE,73.pdf
UNON,UNON,"**Background Context**: The investigation involved UNPOS, a mission under the Department of Political Affairs (DPA) based in Nairobi, which receives support from UNON.

### Relationships Involving Entities of Type Organization

- **UNON and UNPOS**: UNPOS is a mission that operates under the Department of Political Affairs and receives common services from UNON, indicating a service-provider relationship where UNON supports the operational needs of UNPOS.

- **UNON/ITS and UNPOS**: The UNON/ITS staff member was involved in a transactional relationship with UNPOS, where UNPOS trusted the staff member to provide a service (installation of a communication line) in exchange for payment.

",NEGATIVE,73.pdf
UNON,ID/OIOS's,"- **ID/OIOS and UNON/ITS**: The ID/OIOS conducted an investigation into the practices and actions taken by the UNON/ITS staff member, illustrating ID/OIOS's role in oversight and accountability within the organization.

",POSITIVE,73.pdf
the Department of Political Affairs,Deutsche_Presse-Agentur,"- **UNPOS and the Department of Political Affairs (DPA)**: UNPOS operates under the DPA, suggesting a hierarchical relationship where the DPA provides oversight and direction for the operations of UNPOS.

",NEGATIVE,73.pdf
Deutsche_Presse-Agentur,Deutsche_Presse-Agentur,"- **UNPOS and the Department of Political Affairs (DPA)**: UNPOS operates under the DPA, suggesting a hierarchical relationship where the DPA provides oversight and direction for the operations of UNPOS.

",NEGATIVE,73.pdf
Deutsche_Presse-Agentur,Deutsche_Presse-Agentur,"- **UNPOS and the Department of Political Affairs (DPA)**: UNPOS operates under the DPA, suggesting a hierarchical relationship where the DPA provides oversight and direction for the operations of UNPOS.

",NEGATIVE,73.pdf
Space_Shuttle_Enterprise,Kosovo_Force,"It was maintained by the Public Enterprise Airport Pristina in cooperation with the Kosovo Force (KFOR) and later under UNMIK's administration.

",NEGATIVE,9.pdf
Kosovo_Force,United_Nations_Interim_Administration_Mission_in_Kosovo,"It was maintained by the Public Enterprise Airport Pristina in cooperation with the Kosovo Force (KFOR) and later under UNMIK's administration.

",NEGATIVE,9.pdf
Kosovo_Force,Kosovo,"5. **Change in Administration**: Responsibility for the airport's administration transitioned from KFOR to the Kosovo Trust Agency (KTA) and Pillar IV by July 2002, with full civilian jurisdiction established in April 2004.

",POSITIVE,9.pdf
Kosovo,Pillar,"5. **Change in Administration**: Responsibility for the airport's administration transitioned from KFOR to the Kosovo Trust Agency (KTA) and Pillar IV by July 2002, with full civilian jurisdiction established in April 2004.

",POSITIVE,9.pdf
United_Nations,United_Nations,"**United Nations (UN)**:
   - The UN administers the territory of Kosovo through UNMIK, ensuring governance over state-owned and public assets, including Pristina International Airport.

",POSITIVE,9.pdf
United_Nations,United_Nations_Interim_Administration_Mission_in_Kosovo,"**United Nations (UN)**:
   - The UN administers the territory of Kosovo through UNMIK, ensuring governance over state-owned and public assets, including Pristina International Airport.

",POSITIVE,9.pdf
United_Nations,Pristina_International_Airport,"2. **United Nations Interim Administration Mission in Kosovo (UNMIK)**:
   - Serves as the governing body over Kosovo, particularly in the management and oversight of contracts related to the Pristina International Airport.

",POSITIVE,9.pdf
Space_Shuttle_Enterprise,Kosovo,"3. **Pristina International Airport**:
   - A state-owned enterprise, managed by various organizations over time, including the Public Enterprise Airport Pristina (PEAP) and the Kosovo Trust Agency (KTA).

",POSITIVE,9.pdf
United_Nations,United_Nations_Interim_Administration_Mission_in_Kosovo,"**Overview of the Investigation:**
   - The article discusses an investigation led by the United Nations Interim Administration Mission in Kosovo (UNMIK) into allegations of irregularities in the tender processes for cleaning machines at Pristina Airport.

",POSITIVE,8.pdf
United_Nations_Interim_Administration_Mission_in_Kosovo,United_Nations,"**United Nations and UNMIK:**
   - The United Nations oversees the operations of UNMIK, which is specifically responsible for the administration in Kosovo, including procurement practices at Pristina Airport.

",POSITIVE,8.pdf
United_Nations,United_Nations_Interim_Administration_Mission_in_Kosovo,"**United Nations and UNMIK:**
   - The United Nations oversees the operations of UNMIK, which is specifically responsible for the administration in Kosovo, including procurement practices at Pristina Airport.

",POSITIVE,8.pdf
the Investigation Task Force:**,United_Nations_Interim_Administration_Mission_in_Kosovo,"3. **UNMIK and the Investigation Task Force:**
   - The Investigation Task Force (ITF) is established under the mandate of UNMIK to conduct investigations into allegations of misconduct within its jurisdiction.

",NEGATIVE,8.pdf
United_Nations,United_Nations,"4. **UN and Procurement Regulations:**
   - The United Nations' overarching regulations influence UNMIK's procurement processes, ensuring standards of integrity and fairness are upheld in Kosovo.

",POSITIVE,8.pdf
United_Nations,United_Nations_Interim_Administration_Mission_in_Kosovo,"4. **UN and Procurement Regulations:**
   - The United Nations' overarching regulations influence UNMIK's procurement processes, ensuring standards of integrity and fairness are upheld in Kosovo.

",POSITIVE,8.pdf
The_Office_(American_TV_series),Personal Digital Assistants,"### Main Points of the Article:

1. **Investigative Background**: The Office of Internal Oversight Services (ID/OIOS) is investigating allegations of irregularities in a procurement process for Personal Digital Assistants (PDAs) undertaken by the United Nations Mission in Kosovo (UNMIK), specifically by its Directorate of Rural Affairs (DRA).

",NEGATIVE,16.pdf
Personal Digital Assistants,United_Nations,"### Main Points of the Article:

1. **Investigative Background**: The Office of Internal Oversight Services (ID/OIOS) is investigating allegations of irregularities in a procurement process for Personal Digital Assistants (PDAs) undertaken by the United Nations Mission in Kosovo (UNMIK), specifically by its Directorate of Rural Affairs (DRA).

",NEGATIVE,16.pdf
United_Nations,United_Nations_Interim_Administration_Mission_in_Kosovo,"### Main Points of the Article:

1. **Investigative Background**: The Office of Internal Oversight Services (ID/OIOS) is investigating allegations of irregularities in a procurement process for Personal Digital Assistants (PDAs) undertaken by the United Nations Mission in Kosovo (UNMIK), specifically by its Directorate of Rural Affairs (DRA).

",NEGATIVE,16.pdf
United_Nations_Interim_Administration_Mission_in_Kosovo,Directorate of Rural Affairs,"### Main Points of the Article:

1. **Investigative Background**: The Office of Internal Oversight Services (ID/OIOS) is investigating allegations of irregularities in a procurement process for Personal Digital Assistants (PDAs) undertaken by the United Nations Mission in Kosovo (UNMIK), specifically by its Directorate of Rural Affairs (DRA).

",NEGATIVE,16.pdf
Directorate of Rural Affairs,DRA,"### Main Points of the Article:

1. **Investigative Background**: The Office of Internal Oversight Services (ID/OIOS) is investigating allegations of irregularities in a procurement process for Personal Digital Assistants (PDAs) undertaken by the United Nations Mission in Kosovo (UNMIK), specifically by its Directorate of Rural Affairs (DRA).

",NEGATIVE,16.pdf
Policy_Review,Peace_Research_Institute_Oslo,"3. **Preliminary Review**: A preliminary review by the Policy Review and Internal Oversight Unit (PRIO) identified possible irregularities in the procurement process, recommending a detailed investigation by ID/OIOS.

",POSITIVE,16.pdf
DRA Structure and Responsibility*,DRA,"**DRA Structure and Responsibility**: The DRA, part of UNMIK Civil Administration, is responsible for its procurement processes and operates under UN rules, managing various veterinary and agricultural services in Kosovo.

",POSITIVE,16.pdf
DRA,United_Nations_Interim_Administration_Mission_in_Kosovo,"**DRA Structure and Responsibility**: The DRA, part of UNMIK Civil Administration, is responsible for its procurement processes and operates under UN rules, managing various veterinary and agricultural services in Kosovo.

",POSITIVE,16.pdf
United_Nations_Interim_Administration_Mission_in_Kosovo,United_Nations,"**DRA Structure and Responsibility**: The DRA, part of UNMIK Civil Administration, is responsible for its procurement processes and operates under UN rules, managing various veterinary and agricultural services in Kosovo.

",POSITIVE,16.pdf
Reconstruction_era,EAR,"**Project and Technical Specifications**: The investigation included a review of the European Agency for Reconstruction (EAR) project, which recognized the need for PDAs for the monitoring of animal movements in Kosovo, and the development of technical specifications for the PDAs.

",POSITIVE,16.pdf
DRA,DRA,"2. **Directorate of Rural Affairs (DRA)** ⟷ **UNMIK**: The DRA operates as part of the UNMIK civil administration and is responsible for local procurement processes, establishing a direct operational relationship within the mission.

",POSITIVE,16.pdf
DRA,United_Nations_Interim_Administration_Mission_in_Kosovo,"2. **Directorate of Rural Affairs (DRA)** ⟷ **UNMIK**: The DRA operates as part of the UNMIK civil administration and is responsible for local procurement processes, establishing a direct operational relationship within the mission.

",POSITIVE,16.pdf
*European Agency for,EAR,"4. **European Agency for Reconstruction (EAR)** ⟷ **DRA**: EAR funded the project that required the PDAs, establishing a relationship where EAR’s funding influences DRA's procurement activities.

",NEUTRAL,16.pdf
EAR,EAR,"4. **European Agency for Reconstruction (EAR)** ⟷ **DRA**: EAR funded the project that required the PDAs, establishing a relationship where EAR’s funding influences DRA's procurement activities.

",NEUTRAL,16.pdf
EAR,DRA,"4. **European Agency for Reconstruction (EAR)** ⟷ **DRA**: EAR funded the project that required the PDAs, establishing a relationship where EAR’s funding influences DRA's procurement activities.

",NEUTRAL,16.pdf
Emphasis,European_Union,"### Main Points of the Article:

1. **UNSYG's Emphasis on EU Leadership**: Ban Ki-moon, the United Nations Secretary-General, highlighted the importance of the European Union (EU) maintaining its leadership role in addressing climate change during a discussion with German Chancellor Angela Merkel.

",POSITIVE,114.pdf
European_Union,United_Nations,"### Main Points of the Article:

1. **UNSYG's Emphasis on EU Leadership**: Ban Ki-moon, the United Nations Secretary-General, highlighted the importance of the European Union (EU) maintaining its leadership role in addressing climate change during a discussion with German Chancellor Angela Merkel.

",POSITIVE,114.pdf
United_Nations,Union_Army,"### Main Points of the Article:

1. **UNSYG's Emphasis on EU Leadership**: Ban Ki-moon, the United Nations Secretary-General, highlighted the importance of the European Union (EU) maintaining its leadership role in addressing climate change during a discussion with German Chancellor Angela Merkel.

",POSITIVE,114.pdf
Union_Army,European_Union,"### Main Points of the Article:

1. **UNSYG's Emphasis on EU Leadership**: Ban Ki-moon, the United Nations Secretary-General, highlighted the importance of the European Union (EU) maintaining its leadership role in addressing climate change during a discussion with German Chancellor Angela Merkel.

",POSITIVE,114.pdf
European_Council,United_Nations,"2. **Impact of Upcoming EU Summit**: The upcoming EU Summit in Brussels is seen as a crucial event that will influence the UN Conference on Climate Change in Poznan and the 2009 Copenhagen Talks.

",POSITIVE,114.pdf
European_Union,United_Nations,"**Positive Signals Necessary**: Ban stressed that positive signals and continued leadership from the EU are vital for the UN to commit to actions in Poznan.

",POSITIVE,114.pdf
the New U.S. Administration,European_Union,"4. **Engagement from the New U.S. Administration**: The new U.S. administration is expected to adopt an engaging and proactive stance on climate change, creating an opportune moment for the EU and the global community to reach a meaningful agreement at the 2009 Copenhagen Talks.

",POSITIVE,114.pdf
Poznań,Copenhagen,"**Poznan Conference as a Bridge**: Ban described the Poznan Conference as a transitional event leading up to the Copenhagen discussions.

",POSITIVE,114.pdf
European_Council,European_Council,"7. **Merkel's Optimism About the EU Summit**: Merkel expressed hope that the EU Summit would result in agreements, acknowledging challenges ahead regarding carbon dioxide trading.

",POSITIVE,114.pdf
United_Nations,Union_Army,"**United Nations (UN) and European Union (EU)**: The UN relies on the leadership of the EU in climate governance, indicating a dependent relationship where the EU's actions can directly influence UN climate initiatives.

",POSITIVE,114.pdf
Union_Army,European_Union,"**United Nations (UN) and European Union (EU)**: The UN relies on the leadership of the EU in climate governance, indicating a dependent relationship where the EU's actions can directly influence UN climate initiatives.

",POSITIVE,114.pdf
European_Union,United_Nations,"**United Nations (UN) and European Union (EU)**: The UN relies on the leadership of the EU in climate governance, indicating a dependent relationship where the EU's actions can directly influence UN climate initiatives.

",POSITIVE,114.pdf
United_Nations,European_Union,"**United Nations (UN) and European Union (EU)**: The UN relies on the leadership of the EU in climate governance, indicating a dependent relationship where the EU's actions can directly influence UN climate initiatives.

",POSITIVE,114.pdf
European_Union,European_Union,"**United Nations (UN) and European Union (EU)**: The UN relies on the leadership of the EU in climate governance, indicating a dependent relationship where the EU's actions can directly influence UN climate initiatives.

",POSITIVE,114.pdf
European_Union,United_Nations,"**United Nations (UN) and European Union (EU)**: The UN relies on the leadership of the EU in climate governance, indicating a dependent relationship where the EU's actions can directly influence UN climate initiatives.

",POSITIVE,114.pdf
European_Union,German Government,"**European Union (EU) and German Government**: Germany, through Chancellor Angela Merkel, plays a significant role in EU decision-making and leadership on climate issues, showing a supportive relationship between the national government and the supranational entity.

",POSITIVE,114.pdf
German Government,European_Union,"**European Union (EU) and German Government**: Germany, through Chancellor Angela Merkel, plays a significant role in EU decision-making and leadership on climate issues, showing a supportive relationship between the national government and the supranational entity.

",POSITIVE,114.pdf
United_Nations,United_Nations,"3. **United Nations (UN) and U.S. Government**: The UN is anticipating a collaborative relationship with the new U.S. administration regarding climate change, suggesting that positive U.S. involvement can bolster UN efforts.

",POSITIVE,114.pdf
United_Nations,U.S. Government,"3. **United Nations (UN) and U.S. Government**: The UN is anticipating a collaborative relationship with the new U.S. administration regarding climate change, suggesting that positive U.S. involvement can bolster UN efforts.

",POSITIVE,114.pdf
U.S. Government,United_Nations,"3. **United Nations (UN) and U.S. Government**: The UN is anticipating a collaborative relationship with the new U.S. administration regarding climate change, suggesting that positive U.S. involvement can bolster UN efforts.

",POSITIVE,114.pdf
United_Nations,United_Nations,"3. **United Nations (UN) and U.S. Government**: The UN is anticipating a collaborative relationship with the new U.S. administration regarding climate change, suggesting that positive U.S. involvement can bolster UN efforts.

",POSITIVE,114.pdf
European_Union,Climate Change Conferences,"**European Union (EU) and Climate Change Conferences**: The EU’s decisions at the Summit directly affect its influence and commitments at international conferences like the UN Conference in Poznan and the Copenhagen Talks, illustrating an interrelated relationship where EU policies shape global climate actions.

",POSITIVE,114.pdf
Climate Change Conferences,European_Union,"**European Union (EU) and Climate Change Conferences**: The EU’s decisions at the Summit directly affect its influence and commitments at international conferences like the UN Conference in Poznan and the Copenhagen Talks, illustrating an interrelated relationship where EU policies shape global climate actions.

",POSITIVE,114.pdf
European_Union,Summit,"**European Union (EU) and Climate Change Conferences**: The EU’s decisions at the Summit directly affect its influence and commitments at international conferences like the UN Conference in Poznan and the Copenhagen Talks, illustrating an interrelated relationship where EU policies shape global climate actions.

",POSITIVE,114.pdf
Summit,United_Nations,"**European Union (EU) and Climate Change Conferences**: The EU’s decisions at the Summit directly affect its influence and commitments at international conferences like the UN Conference in Poznan and the Copenhagen Talks, illustrating an interrelated relationship where EU policies shape global climate actions.

",POSITIVE,114.pdf
United_Nations,European_Union,"**European Union (EU) and Climate Change Conferences**: The EU’s decisions at the Summit directly affect its influence and commitments at international conferences like the UN Conference in Poznan and the Copenhagen Talks, illustrating an interrelated relationship where EU policies shape global climate actions.

",POSITIVE,114.pdf
European_Union,United_Nations,"**Climate Change Organizations and National Leaders**: The efforts of individual leaders (e.g., Angela Merkel) impact the broader climate initiatives of organizations like the EU and the UN, indicating a relationship where leadership can drive organizational objectives and agreements.",POSITIVE,114.pdf
United_Nations,United_Nations_Interim_Administration_Mission_in_Kosovo,"**United Nations (UN):** The overarching organization overseeing the UNMIK and the investigation conducted by ITF.

",POSITIVE,15.pdf
Internal Oversight Services,United_Nations,"**ID/OIOS (Internal Oversight Services):** Also mentioned in the cc, are part of the UN’s accountability system that may be involved in overseeing investigations or issues raised by staff reports. 

",NEGATIVE,15.pdf
the Bid Evaluation Committee by Procurement,Procurement,"**Specific Allegations**:
   - Acceptance of bribes by Procurement Officer 1 and Finance Officer from Vendor 2.
   - Replacement of a Bid Evaluation Committee member by Procurement Officer 1.
   - Inclusion of the Finance Officer in the Bid Evaluation Committee by Procurement Officer 1.
   - Favoritism shown towards Vendor 2 in the procurement process.
   - Threats made by Vendor 1's manager against Procurement Officer 1.

### Relationships Involving Entities of Type Organization

1.",NEGATIVE,14.pdf
European_Union,European_Union,"**European Union (EU)**: The meeting highlights the collaborative pressure from EU leaders (Merkel, Sarkozy, Van Rompuy) on the Italian government to act decisively regarding financial issues.
",POSITIVE,111.pdf
Japanese Government's,the Ministry of Foreign Affairs,"**Japanese Government's Initial Plan**: The Japanese government, particularly the Ministry of Foreign Affairs (MFA), considered not informing the U.S. government about their plan to reduce carbon emissions due to concerns that it might be opposed by the Bush administration.

",NEGATIVE,105.pdf
the Ministry of Foreign Affairs,Master_of_Fine_Arts,"**Japanese Government's Initial Plan**: The Japanese government, particularly the Ministry of Foreign Affairs (MFA), considered not informing the U.S. government about their plan to reduce carbon emissions due to concerns that it might be opposed by the Bush administration.

",NEGATIVE,105.pdf
National_Security_Agency,"Ministry of Economy, Trade and Industry","1. **National Security Agency (NSA)**:
   - Monitored communications from the **Japanese Ministry of Economy, Trade and Industry (METI)",NEGATIVE,105.pdf
Ministry of Foreign Affairs,Master_of_Fine_Arts,"3. **Ministry of Foreign Affairs (MFA)**:
   - Expressed concerns about U.S. approval of Japan's emissions reduction goals.
   ",NEGATIVE,105.pdf
United_Nations,United_Nations,"3. **Applicable Laws and Regulations**:
   - UNMIK Regulation 1999/24 establishes applicable laws in Kosovo regarding UN rules and previous Kosovo law.
   - UN Staff Regulations emphasize the importance of integrity and efficiency among staff.
   - UNMIK provisions on public procurement stress fair treatment, maximizing competition, and transparency in tender processes.

",POSITIVE,10.pdf
United_Nations,United_Nations,"To identify relationships involving entities of type Organization, we can extract the following:

- **United Nations (UN)**: Plays a central role in establishing regulations and oversight mechanisms for operations in Kosovo, including adherence to standards and ethical conduct.
- **United Nations Interim Administration Mission in Kosovo (UNMIK)**: A specific entity under the UN umbrella that is directly involved in the administration and governance of the interim period in Kosovo, overseeing activities such as procurement and auditing.
",POSITIVE,10.pdf
United_Nations_Interim_Administration_Mission_in_Kosovo,United_Nations,"- Allegations involving Pristina International Airport highlight potential breaches of procedures set forth by UNMIK and the UN, indicating a direct relationship between the conduct of the airport management and the regulations instituted by the UN and UNMIK.",NEGATIVE,10.pdf
United_Nations,United_Nations,"- Allegations involving Pristina International Airport highlight potential breaches of procedures set forth by UNMIK and the UN, indicating a direct relationship between the conduct of the airport management and the regulations instituted by the UN and UNMIK.",NEGATIVE,10.pdf
United_Nations,United_Nations_Interim_Administration_Mission_in_Kosovo,"- Allegations involving Pristina International Airport highlight potential breaches of procedures set forth by UNMIK and the UN, indicating a direct relationship between the conduct of the airport management and the regulations instituted by the UN and UNMIK.",NEGATIVE,10.pdf
Kosovo,KTA,"**Background of the Allegations**: An internal audit by the Kosovo Trust Agency (KTA) raised concerns regarding the procurement process at Pristina Airport, specifically the cancellation of a competitive tender for staff uniforms and the award of a single source contract.

",NEGATIVE,38.pdf
a Bid Evaluation Committee,Inclusion of Finance Officer,"*Details of the Allegations**:
   - Allegation 1: Bribery acceptance by Procurement Officer 1 and Finance Officer.
   - Allegation 2: Improper replacement of a Bid Evaluation Committee member.
   - Allegation 3: Inclusion of Finance Officer in the Bid Evaluation Committee.
   ",NEGATIVE,38.pdf
Inclusion of Finance Officer,the Bid Evaluation Committee,"*Details of the Allegations**:
   - Allegation 1: Bribery acceptance by Procurement Officer 1 and Finance Officer.
   - Allegation 2: Improper replacement of a Bid Evaluation Committee member.
   - Allegation 3: Inclusion of Finance Officer in the Bid Evaluation Committee.
   ",NEGATIVE,38.pdf
