source,target,sentence,sentiment,source_file
UN,UNON,"**ID/OIOS and UN Agencies**:
   - The Office of Internal Oversight Services (ID/OIOS) has oversight authority over various UN bodies, including UNON and UNPOS, highlighting its role in ensuring compliance with regulations and investigating allegations of misconduct within these organizations.

",POSITIVE,73.pdf
the Kosovo Trust Agency,UNMIK,"4. **Background**: Pristina International Airport is a state-owned enterprise governed by Yugoslav law, with administration changing hands between various organizations post-1999, including UNMIK and the Kosovo Trust Agency (KTA).

",POSITIVE,9.pdf
UN,United Nations Interim Administration Mission,"**United Nations (UN)** and **UNMIK**: UNMIK (United Nations Interim Administration Mission in Kosovo) is an entity established by the UN to administer Kosovo and manage public assets, including Pristina International Airport.

",POSITIVE,9.pdf
UNMIK,Kosovo Trust Agency,"3. **Kosovo Trust Agency (KTA)**: The KTA succeeded the administration of the airport, receiving control from UNMIK under specific regulatory frameworks.",POSITIVE,9.pdf
Kosovo Trust Agency,KTA,"3. **Kosovo Trust Agency (KTA)**: The KTA succeeded the administration of the airport, receiving control from UNMIK under specific regulatory frameworks.",POSITIVE,9.pdf
the United Nations Interim Administration Mission,UNMIK,"**Background and Investigation Trigger**: The article discusses an investigation initiated by the United Nations Interim Administration Mission in Kosovo (UNMIK) regarding allegations of irregularities in two tender processes for cleaning machines at Pristina International Airport, stemming from a 2003 audit report.

",NEGATIVE,8.pdf
UN,UNMIK,"**United Nations (UN)**:
   - Governing body of UNMIK and sets procedural rules for operations within Kosovo.

",POSITIVE,8.pdf
UNMIK,ITF,"These organizations are interconnected through the investigation process, with UNMIK overseeing the tendering process, the ITF conducting the investigation, and the Chartered Accountants prompting the inquiry through their audit findings.",POSITIVE,8.pdf
DRA,UNMIK) Directorate of Rural Affairs,"*Background of the Investigation**:
   - The Office of Internal Oversight Services (ID/OIOS) initiated an investigation into alleged irregularities during a procurement process for Personal Digital Assistants (PDAs) by the UN Mission in Kosovo (UNMIK) Directorate of Rural Affairs (DRA).
   ",NEGATIVE,16.pdf
UNMIK) Directorate of Rural Affairs,The Office of Internal Oversight Services,"*Background of the Investigation**:
   - The Office of Internal Oversight Services (ID/OIOS) initiated an investigation into alleged irregularities during a procurement process for Personal Digital Assistants (PDAs) by the UN Mission in Kosovo (UNMIK) Directorate of Rural Affairs (DRA).
   ",NEGATIVE,16.pdf
The Office of Internal Oversight Services,Personal Digital Assistants,"*Background of the Investigation**:
   - The Office of Internal Oversight Services (ID/OIOS) initiated an investigation into alleged irregularities during a procurement process for Personal Digital Assistants (PDAs) by the UN Mission in Kosovo (UNMIK) Directorate of Rural Affairs (DRA).
   ",NEGATIVE,16.pdf
Personal Digital Assistants,the UN Mission,"*Background of the Investigation**:
   - The Office of Internal Oversight Services (ID/OIOS) initiated an investigation into alleged irregularities during a procurement process for Personal Digital Assistants (PDAs) by the UN Mission in Kosovo (UNMIK) Directorate of Rural Affairs (DRA).
   ",NEGATIVE,16.pdf
PRIO,the Policy Review and Internal Oversight Unit,"- A preliminary review by the Policy Review and Internal Oversight Unit (PRIO) indicated possible irregularities and prompted a more thorough investigation by ID/OIOS.

",NEGATIVE,16.pdf
DRA,the UNMIK Civil Administration,"**The Directorate of Rural Affairs (DRA)**:
   - DRA is part of the UNMIK Civil Administration, established in 2001, and is responsible for various agricultural services.
   -",NEUTRAL,16.pdf
the UNMIK Civil Administration,The Directorate of Rural Affairs,"**The Directorate of Rural Affairs (DRA)**:
   - DRA is part of the UNMIK Civil Administration, established in 2001, and is responsible for various agricultural services.
   -",NEUTRAL,16.pdf
DRA,UN,"The DRA oversees its own procurement processes, which are governed by UN rules and regulations.

",NEGATIVE,16.pdf
the European Agency for Reconstruction,EAR,"- The investigation also included a review of an initiative funded by the European Agency for Reconstruction (EAR) aimed at strengthening public veterinary services in Kosovo, which identified the need for PDAs.

",NEUTRAL,16.pdf
DRA,European Agency for,"3. **DRA and European Agency for Reconstruction (EAR)**:
   - The DRA’s procurement of PDAs is linked to funding and technical specifications provided by the EAR through the SPUVESEK project.

",NEGATIVE,16.pdf
European Agency for,EAR,"3. **DRA and European Agency for Reconstruction (EAR)**:
   - The DRA’s procurement of PDAs is linked to funding and technical specifications provided by the EAR through the SPUVESEK project.

",NEGATIVE,16.pdf
Central Procurement Entity,DRA,"4. **DRA and Central Procurement Entity (CPE)**:
   - The DRA relied on the expertise of the CPE for advice, leading to the cancellation of the initial tender for PDAs due to budget excess.

",NEGATIVE,16.pdf
DRA,CPE,"4. **DRA and Central Procurement Entity (CPE)**:
   - The DRA relied on the expertise of the CPE for advice, leading to the cancellation of the initial tender for PDAs due to budget excess.

",NEGATIVE,16.pdf
UN,EAR,These relationships illustrate the interconnectedness of various organizations within the UN system and external agencies like the EAR in the context of procurement processes and oversight.,POSITIVE,16.pdf
EU,UN,"**UN Secretary-General's Emphasis on EU Leadership**: Ban Ki-moon stressed the importance of the EU maintaining its leadership role in combating climate change during a discussion with German Chancellor Angela Merkel.
   
",POSITIVE,114.pdf
UN,Emphasis,"**UN Secretary-General's Emphasis on EU Leadership**: Ban Ki-moon stressed the importance of the EU maintaining its leadership role in combating climate change during a discussion with German Chancellor Angela Merkel.
   
",POSITIVE,114.pdf
the UN Conference on Climate Change,EU Summit,"2. **Impact of EU Summit on Climate Change Conferences**: The upcoming EU Summit in Brussels is seen as critical for influencing the UN Conference on Climate Change in Poznan and the 2009 Copenhagen Talks.

",NEGATIVE,114.pdf
EU Summit,EU Summit on Climate Change Conferences,"2. **Impact of EU Summit on Climate Change Conferences**: The upcoming EU Summit in Brussels is seen as critical for influencing the UN Conference on Climate Change in Poznan and the 2009 Copenhagen Talks.

",NEGATIVE,114.pdf
EU,UN,"3. **Need for Positive Signals from the EU**: Ban highlighted that without strong leadership and positive actions from the EU, it would be challenging for the UN to make a commitment in Poznan.

",NEGATIVE,114.pdf
United Nations,UN,**UN (United Nations),NEUTRAL,114.pdf
EU,UN,"- **Relationship with EU**: The EU's leadership is crucial for the UN's climate agenda and initiatives, particularly in the context of upcoming conferences.

",POSITIVE,114.pdf
EU,European Union,2. **EU (European Union),POSITIVE,114.pdf
EU,the EU Summit,"**:
   - **Leader Role**: Tasked with displaying leadership in climate policy, with expectations for significant outcomes from the EU Summit that impact UN efforts.
   - **Collaboration with Germany**: Germany, particularly under Chancellor Merkel, is a key player in EU's climate initiatives, seeking to negotiate agreements within the Union.

",POSITIVE,114.pdf
the EU Summit,UN,"**:
   - **Leader Role**: Tasked with displaying leadership in climate policy, with expectations for significant outcomes from the EU Summit that impact UN efforts.
   - **Collaboration with Germany**: Germany, particularly under Chancellor Merkel, is a key player in EU's climate initiatives, seeking to negotiate agreements within the Union.

",POSITIVE,114.pdf
EU,UN,"3. **U.S. Administration**:
   - **Engagement**: The potential for a new U.S. administration's involvement indicates an important relationship for future climate discussions and agreements alongside the UN and EU.

",POSITIVE,114.pdf
EU,UN,"**Copenhagen Talks and Poznan Conference**:
   - Both conferences represent collaborative efforts between the UN and member countries, including the EU and U.S., to address climate change negotiations.",POSITIVE,114.pdf
KFOR,Cargo Department,"**Allegation of Fraud**: The article outlines allegations of fraud within the Pristina Airport's Cargo Department related to an invoice for mail handling for a Member State's KFOR, with suspicions arising due to the inability to locate the invoice in financial records.

",NEGATIVE,15.pdf
KFOR,VAT,"3. **Issues with Invoicing**: Key issues include the high fees charged for handling outgoing mail, the incorrect invoicing to KFOR instead of the Airline, and the inappropriate addition of VAT for international traffic.

",NEGATIVE,15.pdf
VAT,The Investigation Task Force,"**Investigation Findings**: The Investigation Task Force (ITF) found that Pristina Airport reduced its handling charges and stopped charging VAT, indicating resolution of the initial concerns.",NEGATIVE,15.pdf
the United Nations,UN,"**United Nations (UN)** and **United Nations Interim Administration Mission in Kosovo (UNMIK)**: UNMIK operates under the umbrella of the United Nations, tasked with overseeing the administration in Kosovo.

",POSITIVE,15.pdf
UN,UNMIK,"**United Nations (UN)** and **United Nations Interim Administration Mission in Kosovo (UNMIK)**: UNMIK operates under the umbrella of the United Nations, tasked with overseeing the administration in Kosovo.

",POSITIVE,15.pdf
UNMIK,ITF,"3. **Investigation Task Force (ITF)** and **UNMIK**: The ITF operates within UNMIK, focusing on investigations related to allegations of misconduct.

",NEGATIVE,15.pdf
the United Nations Interim Administration Mission,UNMIK,"**Investigation Context**:
   - The article discusses an investigation by the United Nations Interim Administration Mission in Kosovo (UNMIK) into allegations of bribery and favoritism concerning the procurement of uniforms by Pristina Airport.

",POSITIVE,14.pdf
Internal Audit Unit,IAU,"2. **Allegations Raised**:
   - A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) memorandum raised issues regarding the cancellation of a competitive tender and the issuance of a single-source contract for staff uniforms, which allegedly favored Vendor 2.

",NEGATIVE,14.pdf
IAU,Kosovo Trust Agency,"2. **Allegations Raised**:
   - A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) memorandum raised issues regarding the cancellation of a competitive tender and the issuance of a single-source contract for staff uniforms, which allegedly favored Vendor 2.

",NEGATIVE,14.pdf
Internal Audit Unit,Kosovo Trust Agency,"2. **Kosovo Trust Agency (KTA) and Pristina Airport**:
   - The KTA's Internal Audit Unit conducted an audit at Pristina Airport, showcasing an internal oversight function to maintain transparency and accountability in procurement practices.

",POSITIVE,14.pdf
EU Council,EU Council's Position*,"**EU Council's Position**: Herman Van Rompuy, the EU Council President, encouraged Italy to adopt policies to mitigate perceptions of its debt issues, suggesting that Spain's approach could serve as a model for Italy.

### Relationships Involving Entities of Type Organization:
",POSITIVE,111.pdf
the Ministry of Foreign Affairs,MFA,"**NSA Report on Intelligence Intercepts**: The article discusses a secret NSA report derived from intercepts involving Japanese officials from the Ministry of Economy, Trade, and Industry (METI) and the Ministry of Foreign Affairs (MFA) before Prime Minister Shinzo Abe's visit to Washington DC.

",NEGATIVE,105.pdf
MFA,"the Ministry of Economy, Trade","**NSA Report on Intelligence Intercepts**: The article discusses a secret NSA report derived from intercepts involving Japanese officials from the Ministry of Economy, Trade, and Industry (METI) and the Ministry of Foreign Affairs (MFA) before Prime Minister Shinzo Abe's visit to Washington DC.

",NEGATIVE,105.pdf
"the Ministry of Economy, Trade",NSA,"**NSA Report on Intelligence Intercepts**: The article discusses a secret NSA report derived from intercepts involving Japanese officials from the Ministry of Economy, Trade, and Industry (METI) and the Ministry of Foreign Affairs (MFA) before Prime Minister Shinzo Abe's visit to Washington DC.

",NEGATIVE,105.pdf
"Ministry of Economy, Trade and Industry",NSA,"**National Security Agency (NSA)**:
   - **Relation to the Japanese Government**: The NSA intercepted communications from officials in the Japanese Ministry of Economy, Trade and Industry (METI) and the Ministry of Foreign Affairs (MFA), indicating a relationship where the NSA is monitoring and analyzing Japanese governmental actions and communications.

",NEGATIVE,105.pdf
NSA,MFA,"**National Security Agency (NSA)**:
   - **Relation to the Japanese Government**: The NSA intercepted communications from officials in the Japanese Ministry of Economy, Trade and Industry (METI) and the Ministry of Foreign Affairs (MFA), indicating a relationship where the NSA is monitoring and analyzing Japanese governmental actions and communications.

",NEGATIVE,105.pdf
MFA,National Security Agency,"**National Security Agency (NSA)**:
   - **Relation to the Japanese Government**: The NSA intercepted communications from officials in the Japanese Ministry of Economy, Trade and Industry (METI) and the Ministry of Foreign Affairs (MFA), indicating a relationship where the NSA is monitoring and analyzing Japanese governmental actions and communications.

",NEGATIVE,105.pdf
National Security Agency,the Ministry of Foreign Affairs,"**National Security Agency (NSA)**:
   - **Relation to the Japanese Government**: The NSA intercepted communications from officials in the Japanese Ministry of Economy, Trade and Industry (METI) and the Ministry of Foreign Affairs (MFA), indicating a relationship where the NSA is monitoring and analyzing Japanese governmental actions and communications.

",NEGATIVE,105.pdf
the Ministry of Foreign Affairs,the Japanese Government*,"**National Security Agency (NSA)**:
   - **Relation to the Japanese Government**: The NSA intercepted communications from officials in the Japanese Ministry of Economy, Trade and Industry (METI) and the Ministry of Foreign Affairs (MFA), indicating a relationship where the NSA is monitoring and analyzing Japanese governmental actions and communications.

",NEGATIVE,105.pdf
the Japanese Government*,the Japanese,"**National Security Agency (NSA)**:
   - **Relation to the Japanese Government**: The NSA intercepted communications from officials in the Japanese Ministry of Economy, Trade and Industry (METI) and the Ministry of Foreign Affairs (MFA), indicating a relationship where the NSA is monitoring and analyzing Japanese governmental actions and communications.

",NEGATIVE,105.pdf
Ministry of Foreign Affairs,the U.S. Government,"3. **Ministry of Foreign Affairs (MFA)**:
   - **Relation to the U.S. Government**: The MFA expressed a cautious stance towards informing the U.S. about Japan's climate goals due to expected opposition, demonstrating a diplomatic relationship influenced by international climate negotiations.

",POSITIVE,105.pdf
the U.S. Government,MFA,"3. **Ministry of Foreign Affairs (MFA)**:
   - **Relation to the U.S. Government**: The MFA expressed a cautious stance towards informing the U.S. about Japan's climate goals due to expected opposition, demonstrating a diplomatic relationship influenced by international climate negotiations.

",POSITIVE,105.pdf
the U.S. Government,MFA,"**Japanese Government as a Collective Entity**:
   - **Relation to the U.S. Government**: The interactions and negotiations between the Japanese governmental bodies (METI and MFA) and the U.S. government highlight the diplomatic efforts and concerns regarding environmental initiatives.

",POSITIVE,105.pdf
UN,UNMIK,"**United Nations (UN)**: The overarching organization overseeing the regulations and procedures mentioned in the article, including the establishment of UNMIK (United Nations Interim Administration Mission in Kosovo).

",POSITIVE,10.pdf
UNMIK,United Nations Interim Administration Mission,"**United Nations (UN)**: The overarching organization overseeing the regulations and procedures mentioned in the article, including the establishment of UNMIK (United Nations Interim Administration Mission in Kosovo).

",POSITIVE,10.pdf
Finance Regulation,UNMIK Office of the Legal Adviser,"3. **Relevant Committees and Offices**:
   - **UNMIK Finance Office**: Connected to the procurement regulations cited, including compliance with Finance Regulation 1999/2.
   - **UNMIK Office of the Legal Adviser**: This office is implicated in the issue as the contract for the cargo apron extension was not brought for clearance to them, violating procedural requirements.

",NEGATIVE,10.pdf
the United Nations Interim Administration Mission,UN,"**United Nations (UN)**  
   - United Nations operates the United Nations Interim Administration Mission in Kosovo (UNMIK), overseeing the investigation into procurement corruption allegations at Pristina Airport.

",NEUTRAL,38.pdf
UN,UNMIK,"**United Nations (UN)**  
   - United Nations operates the United Nations Interim Administration Mission in Kosovo (UNMIK), overseeing the investigation into procurement corruption allegations at Pristina Airport.

",NEUTRAL,38.pdf
the United Nations,United Nations,"No 2003/16, involving interviews and inquiries into the allegations.

---

### Relationships Involving Organizations:

1. **United Nations and UNMIK**: 
   - UNMIK (United Nations Interim Administration Mission in Kosovo) operates under the auspices of the United Nations to manage administrative functions and uphold laws in Kosovo.

",NEUTRAL,39.pdf
United Nations,United Nations Interim Administration Mission,"No 2003/16, involving interviews and inquiries into the allegations.

---

### Relationships Involving Organizations:

1. **United Nations and UNMIK**: 
   - UNMIK (United Nations Interim Administration Mission in Kosovo) operates under the auspices of the United Nations to manage administrative functions and uphold laws in Kosovo.

",NEUTRAL,39.pdf
UNMIK,ITF,"3. **Investigation Task Force (ITF) and UNMIK**: 
   - The ITF was established by UNMIK to conduct investigations, in this case regarding procurement allegations related to cleaning machines for the airport.

",NEGATIVE,39.pdf
Chartered Accountants,UNMIK,"4. **Chartered Accountants and UNMIK**: 
   - The audit report by Chartered Accountants triggered the investigation by UNMIK into financial irregularities at Pristina International Airport.

",NEGATIVE,39.pdf
KFOR,the Public Enterprise Airport Pristina,"**Background of Pristina Airport**:
   - Pristina International Airport is a state-owned enterprise per Yugoslavian law, managed by the Public Enterprise Airport Pristina (PEAP) along with KFOR military units.
   ",NEUTRAL,11.pdf
the Civil Administration Pillar,UN,"5. **Changes in Administrative Responsibility**:
   - The management of Pristina Airport shifted from the Civil Administration Pillar (Pillar II of UNMIK) to different officials within the UN structure, reflecting changes in administration over time.

### Relationships Involving Entities of Type Organization:

",POSITIVE,11.pdf
UN,UNMIK,"5. **Changes in Administrative Responsibility**:
   - The management of Pristina Airport shifted from the Civil Administration Pillar (Pillar II of UNMIK) to different officials within the UN structure, reflecting changes in administration over time.

### Relationships Involving Entities of Type Organization:

",POSITIVE,11.pdf
the United Nations,Security Council Resolution 1244,"**United Nations (UN)** and **UNMIK**:
   - UNMIK operates under the mandate of the United Nations to administer Kosovo following Security Council Resolution 1244.

",POSITIVE,11.pdf
Security Council Resolution 1244,UN,"**United Nations (UN)** and **UNMIK**:
   - UNMIK operates under the mandate of the United Nations to administer Kosovo following Security Council Resolution 1244.

",POSITIVE,11.pdf
UNMIK Directorate of Infrastructure Affairs**,Department of Transport and Infrastructure (DOTI,3. **UNMIK Directorate of Infrastructure Affairs** and **Department of Transport and Infrastructure (DOTI),NEUTRAL,11.pdf
Fischer-Boel,EU,- **EU (represented by Fischer-Boel),POSITIVE,110.pdf
the National Security Agency,NSA,"**Secret NSA Report**: The article discusses a top-secret report from the National Security Agency (NSA) analyzing Japanese government intelligence regarding carbon emissions strategies from 2008.

",NEGATIVE,106.pdf
IEA,the International Energy Agency,"2. **Japan's Commitment**: Japanese officials are committed to the ""sectoral approach"" to reducing carbon emissions despite facing criticism from the International Energy Agency (IEA) and European Union (EU) representatives.

",POSITIVE,106.pdf
the International Energy Agency,EU,"2. **Japan's Commitment**: Japanese officials are committed to the ""sectoral approach"" to reducing carbon emissions despite facing criticism from the International Energy Agency (IEA) and European Union (EU) representatives.

",POSITIVE,106.pdf
EU,European Union,"2. **Japan's Commitment**: Japanese officials are committed to the ""sectoral approach"" to reducing carbon emissions despite facing criticism from the International Energy Agency (IEA) and European Union (EU) representatives.

",POSITIVE,106.pdf
IEA,"The Ministry of Economy, Trade","**METI and IEA**: The Ministry of Economy, Trade, and Industry (METI) is represented by Masakazu Toyoda, who defends Japan's emissions strategy against criticisms from the IEA.

",POSITIVE,106.pdf
UNMIK,the Investigation Task Force,"2. **Investigation Context**: The United Nations Interim Administration Mission in Kosovo (UNMIK) and the Investigation Task Force (ITF) are involved in investigating the allegations, which have led to judicial inquiries.

",POSITIVE,13.pdf
the Investigation Task Force,The United Nations Interim Administration Mission,"2. **Investigation Context**: The United Nations Interim Administration Mission in Kosovo (UNMIK) and the Investigation Task Force (ITF) are involved in investigating the allegations, which have led to judicial inquiries.

",POSITIVE,13.pdf
Investigation Task Force,UN,"**United Nations (UN)**: 
   - Involved in the oversight and administration of Kosovo and has established UNMIK to manage post-conflict administration and investigations.
   - The UN's Investigation Task Force (ITF) is directly investigating the allegations of corruption at Pristina Airport.

",POSITIVE,13.pdf
UN,UNMIK,"**United Nations (UN)**: 
   - Involved in the oversight and administration of Kosovo and has established UNMIK to manage post-conflict administration and investigations.
   - The UN's Investigation Task Force (ITF) is directly investigating the allegations of corruption at Pristina Airport.

",POSITIVE,13.pdf
KPS,Kosovo Police Service,"2. **Kosovo Police Service (KPS)**: 
   - The allegations originated from a report written by a KPS officer, indicating involvement in the alleged corrupt practices at the airport.
  
",NEGATIVE,13.pdf
Kosovo Department,ITF,"**Kosovo Department of Justice**:
   - The case was referred to this department, indicating a formal judicial investigation into the allegations and thus highlighting the relationship between the ITF and judicial bodies in Kosovo.

",POSITIVE,13.pdf
MEM,U.S. Position,"2. **U.S. Position and Heiligendamm Agreement**: Germany is concerned about whether the U.S. will agree to extend previous language from the Heiligendamm G-8 summit if emerging countries do not accept numerical targets at the Major Economies Meeting (MEM).

",NEGATIVE,113.pdf
U.S. Position,the Major Economies Meeting,"2. **U.S. Position and Heiligendamm Agreement**: Germany is concerned about whether the U.S. will agree to extend previous language from the Heiligendamm G-8 summit if emerging countries do not accept numerical targets at the Major Economies Meeting (MEM).

",NEGATIVE,113.pdf
National Security Agency,the Summary Services Office of the NSA,"7. **Date and Author**: The report is dated February 20, 2008, and was summarized by the Summary Services Office of the NSA.

### Relationships Involving Entities of Type Organization:

- **National Security Agency (NSA)**: Central organization of the report, responsible for intelligence gathering and reporting on the Japanese government’s climate change initiatives.

-",NEGATIVE,107.pdf
Insurance Company 1,Insurance Company 2,"3. **Double Insurance Coverage**: Evidence was found indicating that Pristina International Airport had duplicate insurance coverage due to a contract renewal with Insurance Company 1 while also securing a new insurance package with Insurance Company 2 at the request of UNMIK.

",NEGATIVE,36.pdf
Insurance Company 2,UNMIK,"3. **Double Insurance Coverage**: Evidence was found indicating that Pristina International Airport had duplicate insurance coverage due to a contract renewal with Insurance Company 1 while also securing a new insurance package with Insurance Company 2 at the request of UNMIK.

",NEGATIVE,36.pdf
United Nations Interim Administration Mission,the Department of Justice,"5. **Preliminary Findings**: ITF investigators believe there is a prima facie case against the Manager for potential offenses related to the misappropriation of public funds and have recommended forwarding the case to the Department of Justice for further review and potential judicial action.

### Relationships Involving Organizations:

1. **UNMIK (United Nations Interim Administration Mission in Kosovo)",NEUTRAL,36.pdf
the Office of Internal Oversight Services,OIOS,"**Nature of Investigation**: The report discusses a case of cheque fraud investigated by the Office of Internal Oversight Services (OIOS) from October 2003 to March 2005, prompted by a report from the United Nations Office in Nairobi (UNON).

",NEGATIVE,21.pdf
OIOS,the United Nations Office,"**Nature of Investigation**: The report discusses a case of cheque fraud investigated by the Office of Internal Oversight Services (OIOS) from October 2003 to March 2005, prompted by a report from the United Nations Office in Nairobi (UNON).

",NEGATIVE,21.pdf
UNDP,The United Nations Development Programme,"**Incident Details**: The United Nations Development Programme (UNDP) in Bratislava, Slovakia, made payments totaling $10,079 to an individual based on falsified documents.

",NEGATIVE,21.pdf
the Slovakian Criminal Code,United Nations Staff Rules,"5. **Legal Framework**: The document outlines relevant laws and regulations regarding staff conduct and fraud, including United Nations Staff Rules and the Slovakian Criminal Code.

",POSITIVE,21.pdf
UNON Finance,UNDP Bratislava,"**Financial Reconciliation Issues**: The investigation was initiated after UNON Finance noted discrepancies while reconciling accounts with UNDP Bratislava, specifically regarding missing documentation for past cash disbursements.

",NEGATIVE,21.pdf
UNDP,UN,"**United Nations (UN) and UNODC**: The UN is the overarching body that includes various organizations like the UNDP and UNON, which have specific operational functions.

",POSITIVE,21.pdf
UN,UNON,"**United Nations (UN) and UNODC**: The UN is the overarching body that includes various organizations like the UNDP and UNON, which have specific operational functions.

",POSITIVE,21.pdf
UNON,UNDP Bratislava,"2. **UNDP and UNON**: UNDP Bratislava received reports and documentation requests from UNON, indicating a direct operational relationship in managing financial disbursements and reconciling accounts.

",NEGATIVE,21.pdf
