source,target,sentence,document
October 2002,ITF,"On 29 April 2004, the Divisional Manager advised  the ITF of an incident which 
had occurred “sometime in October 2002”, which he/s he “thought” he/she had 
raised with the ITF previously.",49.pdf
Divisional,ITF,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf
ITF,11 October 2002,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf
11 October 2002,Fush,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf
Fush,Kosovo,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf
Divis,11 October 2002,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf
11 October 2002,8 October 2002,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf
8 October 2002,Divisional,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf
Divisional,Euro,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf
Euro,"5,200","The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf
"5,200",PEAP,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf
Divisional,September 2002,"The Divisional Manager explained that he/she was  away from the Airport from the 
middle of September 2002 until the beginning of Oct ober 2002.",49.pdf
September 2002,the beginning of Oct ober 2002,"The Divisional Manager explained that he/she was  away from the Airport from the 
middle of September 2002 until the beginning of Oct ober 2002.",49.pdf
the previous Friday,October 2002,"The latter informed 
him/her that the previous Friday (believed to be 4 October 2002), a meeting had 
been held in his (the PEAP Official’s) office, with  persons bidding for the 
procurement contract for the new car parking area. 
 
",49.pdf
8 October 2002,KTA Procure,"The note dated 8 October 2002 from the PEAP Off icial, indicates that the persons 
who had attended a meeting were the Company 1 Repre sentative, an engineer 
from the contractor “escavator” and the KTA Procure ment Specialist. 
 
11.",49.pdf
KTA Procure,Specialist,"The note dated 8 October 2002 from the PEAP Off icial, indicates that the persons 
who had attended a meeting were the Company 1 Repre sentative, an engineer 
from the contractor “escavator” and the KTA Procure ment Specialist. 
 
11.",49.pdf
Divisional,UNMIK,"The Divisional Manager then reported the incide nt to his/her then chain of 
command, and the matter was passed to the UNMIK pol ice. 
 
",49.pdf
PEAP Offi,one day,"Analysis of the note written by the PEAP Offici al suggests that the company 
referred to in his note as “escavator” is in fact C ompany 1, who won the contract 
for the construction of the new car park at Pristin a Airport and whose 
representative, attended a meeting in the PEAP Offi cial’s office one day prior to 
the discovery of the money. 
 
",49.pdf
"5,200",5000,"The sum of €5,200 alleged to have been left in the envelope is unusual, since 
one would expect the sum to have been a “round sum”  such as €5000. 
 
",49.pdf
"Airport 
Engineer",2 6 September 2002,"It should be noted that an interoffice memorandum f rom a former Airport 
Engineer to the KTA Procurement Specialist, dated 2 6 September 2002, alleged 
that the PEAP Official had accepted an open envelop e of documents relating to 
the car park tender from Company 2, after the time for submission of bids had 
concluded and contrary to accepted procurement proc edures on the handling of 
bids.   ",49.pdf
ITF,Divisional,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf
Divisional,ed,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf
ed,UNMIK,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf
UNMIK,October 2002,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf
"5,200",UNMIK Police Officer,"The letter also records that the sum of €5,200 was handed to the 
UNMIK Police Officer. 
 
19.",49.pdf
raq,ITF,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf
ITF,Kosovo,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf
Kosovo,between June 2001,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf
between June 2001,November 200 2,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf
27 September 2004,ITF,"On 27 September 2004, the ITF sent a letter to UNMIK Police Officer 2, in an 
effort to determine what investigations had been un dertaken into the matter, the 
result of those investigations and the whereabouts of the money. 
 
",49.pdf
ITF,UNMIK Police,"On 27 September 2004, the ITF sent a letter to UNMIK Police Officer 2, in an 
effort to determine what investigations had been un dertaken into the matter, the 
result of those investigations and the whereabouts of the money. 
 
",49.pdf
UNMIK Police,un,"On 27 September 2004, the ITF sent a letter to UNMIK Police Officer 2, in an 
effort to determine what investigations had been un dertaken into the matter, the 
result of those investigations and the whereabouts of the money. 
 
",49.pdf
ITF,the Regional Crime Squad,"The ITF then contacted the Regional Crime Squad  and meetings were held with 
two officials. 
 
24.",49.pdf
ITF,2004,"The ITF obtained a draft of the assigned office r’s report into the case, which 
indicates that the case had been opened in 2004.",49.pdf
ITF,"5,200","The ITF has also been informed that the €5,200,  which is the subject of the 
attempted bribery case, is still missing and a poli ce inquiry has commenced into 
its disappearance. 
  
 4 VI.",49.pdf
ITF,PEAP,"Evidence adduced by the ITF gives rise to the possibility that an attempt was 
made to make a corrupt payment to the PEAP Official  in October 2002. 
",49.pdf
PEAP,October 2002,"Evidence adduced by the ITF gives rise to the possibility that an attempt was 
made to make a corrupt payment to the PEAP Official  in October 2002. 
",49.pdf
"5,200",ed bribery case,"The €5,200, which is the subject of the attempt ed bribery case, is missing and an 
inquiry has been started into its disappearance. 
 
",49.pdf
ST,September 1994,"This report is protected under the provisions of 
ST/SGB/273, paragraph 18, of 7 September 1994  
 
 
 
 
 
",60.pdf
September 2005,STRICTLY,"ID CASE NO. 0093/04 
 
 
 
 
 
 
 
 
 
 
 
 
23 September 2005  
 
 
 STRICTLY  CONFIDENTIAL  
 - 1 - ALLEGATIONS OF CONFLICT OF INTEREST AND ABUSE OF AU THORITY 
BY SENIOR OFFICIAL 1, UNMIL 
 
 
1.",60.pdf
The Investigations Division of the Office of Int ernal Oversight Services,the United Nations Mission,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf
the United Nations Mission,Liberia,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf
Liberia,dealin gs,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf
dealin gs,Liberia,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf
Liberia,UNMIL,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf
US,"June 23, 2015","NSA Global SIGINT Highlights
US Intercepts of France Complaining About US 
Intercepts of France
WikiLeaks release: June 23, 2015
Top Secret US National Security Agency report on highlights from signals intelligence intercepts of high-
level French government communications.",89.pdf
"June 23, 2015",Top Secret US National Security Agency,"NSA Global SIGINT Highlights
US Intercepts of France Complaining About US 
Intercepts of France
WikiLeaks release: June 23, 2015
Top Secret US National Security Agency report on highlights from signals intelligence intercepts of high-
level French government communications.",89.pdf
"March 24, 2010",Washington D.C.,"The extract dating from March 24, 2010 summarises 
communications between the French Ambassador in Washington D.C.",89.pdf
Pierre Vimont,Nicolas Sarkozy,"Pierre Vimont, and French 
President Nicolas Sarkozy's diplomatic advisor Jean-David Levitte.",89.pdf
Nicolas Sarkozy,Jean-David Levitte,"Pierre Vimont, and French 
President Nicolas Sarkozy's diplomatic advisor Jean-David Levitte.",89.pdf
Sarkozy,US,"The report reveals various potential 
topics Sarkozy intended to raise with US President Barack Obama during an upcoming meeting in 
Washington.",89.pdf
US,Barack Obama,"The report reveals various potential 
topics Sarkozy intended to raise with US President Barack Obama during an upcoming meeting in 
Washington.",89.pdf
Barack Obama,Washington,"The report reveals various potential 
topics Sarkozy intended to raise with US President Barack Obama during an upcoming meeting in 
Washington.",89.pdf
Sarkozy,US,"Topping Sarkozy's agenda is his frustration that the US has backed away from a bilaterial 
intelligence cooperation agreement which might restrict the US ability to continue spying on France.  
",89.pdf
US,US,"Topping Sarkozy's agenda is his frustration that the US has backed away from a bilaterial 
intelligence cooperation agreement which might restrict the US ability to continue spying on France.  
",89.pdf
US,France,"Topping Sarkozy's agenda is his frustration that the US has backed away from a bilaterial 
intelligence cooperation agreement which might restrict the US ability to continue spying on France.  
",89.pdf
Afghanistan,European Aeronautic Defence,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf
European Aeronautic Defence,EADS,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf
EADS,US,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf
US,Pernod Ricard,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf
National Security Agency,NSA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
NSA,Top Secret,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Top Secret,ORCON,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
ORCON,NOFORN,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
NOFORN,SIGINT,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
SIGINT,United States,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
United States,USA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
USA,France,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
France,Afghanistan,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Afghanistan,Nicolas Sarkozy,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Nicolas Sarkozy,Barack Obama,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Barack Obama,"Pernod
Ricard","Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
"Pernod
Ricard",European Aeronautic Defence,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
European Aeronautic Defence,EADS,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
EADS,Iran,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Iran,Pakistan,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Pakistan,Yemen,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Yemen,Somalia,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Somalia,Sahel,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
Sahel,Russia,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf
