source,target,sentence,document,cleaned_source,cleaned_target
UNMIK,October 2002,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf,unmik,october 2002
"5,200",UNMIK Police Officer,"The letter also records that the sum of €5,200 was handed to the 
UNMIK Police Officer. 
 
19.",49.pdf,5200,unmik police officer
raq,ITF,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf,raq,itf
Kosovo,between June 2001,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf,republic of kosovo,between june 2001
between June 2001,November 200 2,"The UNMIK Police Officer, who is now based in I raq, told the ITF that he/she 
served in Kosovo between June 2001 and November 200 2 and recalls the 
incident being reported.",49.pdf,between june 2001,november 200 2
27 September 2004,ITF,"On 27 September 2004, the ITF sent a letter to UNMIK Police Officer 2, in an 
effort to determine what investigations had been un dertaken into the matter, the 
result of those investigations and the whereabouts of the money. 
 
",49.pdf,27 september 2004,itf
ITF,UNMIK Police,"On 27 September 2004, the ITF sent a letter to UNMIK Police Officer 2, in an 
effort to determine what investigations had been un dertaken into the matter, the 
result of those investigations and the whereabouts of the money. 
 
",49.pdf,itf,unmik police
ITF,the Regional Crime Squad,"The ITF then contacted the Regional Crime Squad  and meetings were held with 
two officials. 
 
24.",49.pdf,itf,the regional crime squad
ITF,2004,"The ITF obtained a draft of the assigned office r’s report into the case, which 
indicates that the case had been opened in 2004.",49.pdf,itf,2004
ITF,"5,200","The ITF has also been informed that the €5,200,  which is the subject of the 
attempted bribery case, is still missing and a poli ce inquiry has commenced into 
its disappearance. 
  
 4 VI.",49.pdf,itf,5200
ITF,PEAP,"Evidence adduced by the ITF gives rise to the possibility that an attempt was 
made to make a corrupt payment to the PEAP Official  in October 2002. 
",49.pdf,itf,peap
PEAP,October 2002,"Evidence adduced by the ITF gives rise to the possibility that an attempt was 
made to make a corrupt payment to the PEAP Official  in October 2002. 
",49.pdf,peap,october 2002
"5,200",ed bribery case,"The €5,200, which is the subject of the attempt ed bribery case, is missing and an 
inquiry has been started into its disappearance. 
 
",49.pdf,5200,ed bribery case
September 2005,STRICTLY,"ID CASE NO. 0093/04 
 
 
 
 
 
 
 
 
 
 
 
 
23 September 2005  
 
 
 STRICTLY  CONFIDENTIAL  
 - 1 - ALLEGATIONS OF CONFLICT OF INTEREST AND ABUSE OF AU THORITY 
BY SENIOR OFFICIAL 1, UNMIL 
 
 
1.",60.pdf,september 2005,strictly
The Investigations Division of the Office of Int ernal Oversight Services,the United Nations Mission,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,the investigations division of the office of int ernal oversight services,the united nations mission
the United Nations Mission,Liberia,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,the united nations mission,liberia
Liberia,dealin gs,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,liberia,dealin gs
dealin gs,Liberia,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,dealin gs,liberia
Liberia,UNMIL,"The Investigations Division of the Office of Int ernal Oversight Services 
(ID/OIOS) received information that a Senior Offici al for the United Nations Mission in 
Liberia (SRSG UNMIL) was involved in business dealin gs with a businessman operating 
in Liberia, and had abused his authority UNMIL to th e benefit of either himself or of the 
businessman.  
 
",60.pdf,liberia,unmil
"June 23, 2015",Top Secret US National Security Agency,"NSA Global SIGINT Highlights
US Intercepts of France Complaining About US 
Intercepts of France
WikiLeaks release: June 23, 2015
Top Secret US National Security Agency report on highlights from signals intelligence intercepts of high-
level French government communications.",89.pdf,june 23 2015,top secret us national security agency
"March 24, 2010",Washington D.C.,"The extract dating from March 24, 2010 summarises 
communications between the French Ambassador in Washington D.C.",89.pdf,march 24 2010,washington dc
Pierre Vimont,Nicolas Sarkozy,"Pierre Vimont, and French 
President Nicolas Sarkozy's diplomatic advisor Jean-David Levitte.",89.pdf,pierre vimont,nicolas sarkozy
Nicolas Sarkozy,Jean-David Levitte,"Pierre Vimont, and French 
President Nicolas Sarkozy's diplomatic advisor Jean-David Levitte.",89.pdf,nicolas sarkozy,jean-david levitte
Barack Obama,Washington,"The report reveals various potential 
topics Sarkozy intended to raise with US President Barack Obama during an upcoming meeting in 
Washington.",89.pdf,barack obama,washington
Afghanistan,European Aeronautic Defence,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf,afghanistan,european aeronautic defence
European Aeronautic Defence,EADS,"Other issues include the potential French commitment of military trainers to Afghanistan, a potential 
European Aeronautic Defence and Space Corporation (EADS) contract for tanker aircraft with the US 
military, and a trademark dispute concerning the French spirits company Pernod Ricard.",89.pdf,european aeronautic defence,eads
National Security Agency,NSA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,national security agency,nsa
NSA,Top Secret,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,nsa,top secret
Top Secret,ORCON,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,top secret,orcon
ORCON,NOFORN,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,orcon,noforn
NOFORN,SIGINT,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,noforn,sigint
SIGINT,United States,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,sigint,united states
United States,USA,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,united states,usa
USA,France,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,usa,france
France,Afghanistan,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,france,afghanistan
Afghanistan,Nicolas Sarkozy,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,afghanistan,nicolas sarkozy
Nicolas Sarkozy,Barack Obama,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,nicolas sarkozy,barack obama
Barack Obama,"Pernod
Ricard","Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,barack obama,pernod ricard
"Pernod
Ricard",European Aeronautic Defence,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,pernod ricard,european aeronautic defence
EADS,Iran,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,eads,iran
Iran,Pakistan,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,iran,pakistan
Pakistan,Yemen,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,pakistan,yemen
Yemen,Somalia,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,yemen,somalia
Somalia,Sahel,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,somalia,sahel
Sahel,Russia,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,sahel,russia
Russia,China,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,russia,china
China,Turkey,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,china,turkey
Next Week,Washington,"Description
Keywords:National Security Agency, NSA, Top Secret, ORCON, NOFORN,
COMINT, SIGINT, intelligence, intercept, espionage, United States,
USA, France, Afghanistan, Nicolas Sarkozy, Barack Obama, Pernod
Ricard, European Aeronautic Defence and Space Corporation, EADS,
bilateral intelligence cooperation, Middle East Peace Process, Iran,
Pakistan, Yemen, Somalia, the Sahel, Russia, China, Turkey, climate
change
Restraint:TOP SECRET//SIGINT/NOFORN
Title:Global SIGINT Highlights (Executive Version): Sensitive Issues on the
Agenda When French, U.S. Presidents Meet Next Week in Washington
Date:March 24, 2010
Organization:National Security Agency (NSA)
",89.pdf,next week,washington
